objectid;fid;code_insee;reg;dep;cv;ze2010;libgeo;p11_tot;p06_tot;p11_0014;p11_1529;p11_3044;p11_4559;p11_6074;p11_75p;p06_0014;p06_1529;p06_3044;p06_4559;p06_6074;p06_75p
4967;4966;2648;22;2;225;2205;Ribemont;1961;2059;372;350;330;454;292;161;431;353;422;475;219;159
4972;4971;2490;22;2;201;2204;Monampteuil;134;132;23;13;30;38;21;9;29;16;27;33;20;8
5155;5154;2456;22;2;211;2202;Manicamp;314;319;45;53;42;89;54;30;58;53;59;80;42;28
5174;5173;2657;22;2;227;2203;Rougeries;227;233;55;41;46;36;18;31;54;41;48;38;28;24
5288;5287;2281;22;2;207;2201;L'Épine-aux-Bois;260;259;53;49;49;66;24;19;64;38;57;61;21;16
5475;5474;2195;22;2;204;2206;Ciry-Salsogne;878;808;204;115;222;201;90;46;188;119;224;161;65;51
5510;5509;2580;22;2;224;2201;Oulchy-le-Château;827;859;154;121;161;179;129;84;177;139;190;164;112;77
5590;5589;2188;22;2;205;2203;Chigny;146;173;23;12;21;35;29;26;35;24;35;28;34;17
5716;5715;2721;22;2;225;2205;Sissy;483;495;84;65;95;101;105;31;94;61;129;97;78;35
5753;5752;2225;22;2;222;56;Courchamps;90;92;27;10;13;17;14;9;26;9;15;25;8;9
5804;5803;2044;22;2;234;2204;Bancigny;29;24;5;4;4;8;5;2;1;3;3;7;7;4
5812;5811;2165;22;2;214;2202;Charmes;1651;1703;311;235;317;313;307;168;326;284;316;358;250;169
5821;5820;2174;22;2;232;2204;Chavignon;760;742;151;127;161;167;102;54;153;115;173;174;79;49
5822;5821;2804;22;2;224;2206;Villemontoire;206;210;36;32;42;55;27;14;39;35;45;57;18;16
5961;5960;2815;22;2;229;2205;Villers-Saint-Christophe;473;456;98;58;100;114;66;36;85;62;107;118;59;26
5967;5966;2220;22;2;215;2201;Coulonges-Cohan;429;419;93;63;86;98;56;33;90;40;103;96;51;37
6032;6031;2683;22;2;237;2205;Saint-Martin-Rivière;129;118;28;19;22;22;8;29;19;21;25;16;17;20
6035;6034;2422;22;2;216;2203;Lesquielles-Saint-Germain;840;862;169;138;134;197;133;70;180;150;159;188;113;74
6037;6036;2232;22;2;236;56;Coyolles;391;351;40;76;81;144;40;10;38;59;110;106;26;12
6186;6185;2505;22;2;207;2201;Montfaucon;190;171;34;20;48;36;26;26;31;23;32;36;25;25
6225;6224;2757;22;2;216;2203;Vadencourt;618;627;117;105;104;142;94;56;121;112;112;138;94;51
6435;6434;2312;22;2;205;2203;La Flamengrie;1120;1053;261;200;195;255;136;74;212;191;216;227;136;71
6562;6561;2680;22;2;214;2202;Saint-Gobain;2325;2349;346;293;396;485;357;446;382;314;411;461;389;392
6605;6604;2051;22;2;210;2201;Barzy-sur-Marne;386;376;64;44;82;93;62;42;49;61;82;81;62;41
6610;6609;2555;22;2;207;2201;Nogent-l'Artaud;2129;2131;425;346;389;465;264;241;421;351;454;424;259;223
6660;6659;2547;22;2;227;2204;La Neuville-Housset;62;61;15;11;16;7;10;3;18;9;14;9;8;4
6671;6670;2117;22;2;229;2205;Bray-Saint-Christophe;77;77;11;17;14;21;13;1;18;6;20;25;5;3
6770;6769;2778;22;2;212;2204;Vendresse-Beaulne;116;113;30;15;24;20;17;10;24;16;29;22;14;9
6785;6784;2743;22;2;226;2204;Le Thuel;173;164;47;20;34;35;25;12;38;29;31;37;18;11
6818;6817;2109;22;2;234;2203;La Bouteille;499;515;96;77;99;106;78;44;106;80;103;117;74;34
6861;6860;2305;22;2;215;2201;Fère-en-Tardenois;3231;3312;611;556;521;626;546;370;655;600;629;607;462;358
7214;7213;2464;22;2;232;2206;Margival;336;323;72;56;71;68;40;29;68;50;71;74;38;22
7494;7493;2339;22;2;222;2201;Gandelu;679;671;159;93;154;131;95;47;147;111;156;150;77;29
7642;7641;2032;22;2;229;2205;Aubigny-aux-Kaisnes;240;247;52;40;48;54;19;26;46;54;56;47;19;25
7691;7690;2093;22;2;211;2202;Blérancourt;1245;1252;262;166;249;252;187;128;240;211;221;290;185;105
7919;7918;2792;22;2;222;2201;Veuilly-la-Poterie;140;134;28;15;28;30;29;11;28;20;23;34;20;10
7934;7933;2810;22;2;236;56;Villers-Cotterêts;10411;10128;2105;2176;1962;2023;1333;812;2126;2100;2211;1861;1164;666
7999;7998;2261;22;2;213;2204;Dercy;368;396;81;40;85;71;42;49;75;67;68;70;61;55
